case_id,activity,timestamp,resource
1,Start,2023-01-01 09:00:00,System
1,Submit,2023-01-01 09:15:00,User1
1,Review,2023-01-01 10:00:00,Manager1
1,Approve,2023-01-01 10:30:00,Manager1
1,End,2023-01-01 10:45:00,System
2,Start,2023-01-01 09:30:00,System
2,Submit,2023-01-01 09:45:00,User2
2,Review,2023-01-01 10:15:00,Manager2
2,Reject,2023-01-01 10:45:00,Manager2
2,Rework,2023-01-01 11:00:00,User2
2,Submit,2023-01-01 11:30:00,User2
2,Review,2023-01-01 12:00:00,Manager2
2,Approve,2023-01-01 12:20:00,Manager2
2,End,2023-01-01 12:30:00,System
3,Start,2023-01-01 10:00:00,System
3,Submit,2023-01-01 10:10:00,User1
3,Approve,2023-01-01 10:40:00,Manager1
3,End,2023-01-01 10:50:00,System
4,Start,2023-01-01 10:30:00,System
4,Submit,2023-01-01 10:45:00,User3
4,Review,2023-01-01 11:15:00,Manager1
4,Approve,2023-01-01 11:45:00,Manager1
4,Send,2023-01-01 12:00:00,System
4,End,2023-01-01 12:15:00,System
5,Start,2023-01-01 11:00:00,System
5,Submit,2023-01-01 11:15:00,User2
5,Check,2023-01-01 11:45:00,Auditor
5,Review,2023-01-01 12:00:00,Manager2
5,Approve,2023-01-01 12:30:00,Manager2
5,End,2023-01-01 12:45:00,System
6,Start,2023-01-01 11:30:00,System
6,Submit,2023-01-01 11:45:00,User1
6,Review,2023-01-01 12:15:00,Manager1
6,Review,2023-01-01 12:45:00,Manager2
6,Approve,2023-01-01 13:00:00,Manager2
6,End,2023-01-01 13:15:00,System
7,Start,2023-01-01 12:00:00,System
7,Submit,2023-01-01 12:15:00,User3
7,Validate,2023-01-01 12:45:00,Validator
7,Approve,2023-01-01 13:15:00,Manager1
7,End,2023-01-01 13:30:00,System
8,Start,2023-01-01 12:30:00,System
8,Submit,2023-01-01 12:45:00,User2
8,Review,2023-01-01 13:15:00,Manager2
8,Reject,2023-01-01 13:45:00,Manager2
8,End,2023-01-01 14:00:00,System
9,Start,2023-01-01 13:00:00,System
9,Submit,2023-01-01 13:15:00,User1
9,Review,2023-01-01 13:45:00,Manager1
9,Approve,2023-01-01 14:15:00,Manager1
9,Send,2023-01-01 14:30:00,System
9,Receive,2023-01-01 15:00:00,System
9,End,2023-01-01 15:15:00,System
10,Start,2023-01-01 13:30:00,System
10,Submit,2023-01-01 13:45:00,User3
10,Check,2023-01-01 14:15:00,Auditor
10,Review,2023-01-01 14:30:00,Manager1
10,Reject,2023-01-01 15:00:00,Manager1
10,End,2023-01-01 15:15:00,System
11,Start,2023-01-02 09:00:00,System
11,Submit,2023-01-02 09:20:00,User1
11,Review,2023-01-02 10:00:00,Manager2
11,Approve,2023-01-02 10:30:00,Manager2
11,Send,2023-01-02 10:45:00,System
11,End,2023-01-02 11:00:00,System
12,Start,2023-01-02 09:30:00,System
12,Submit,2023-01-02 09:45:00,User2
12,Validate,2023-01-02 10:15:00,Validator
12,Review,2023-01-02 10:45:00,Manager1
12,Approve,2023-01-02 11:15:00,Manager1
12,End,2023-01-02 11:30:00,System
13,Start,2023-01-02 10:00:00,System
13,Submit,2023-01-02 10:15:00,User1
13,Review,2023-01-02 10:45:00,Manager2
13,Approve,2023-01-02 11:15:00,Manager2
13,End,2023-01-02 11:30:00,System
14,Start,2023-01-02 10:30:00,System
14,Submit,2023-01-02 10:45:00,User3
14,Check,2023-01-02 11:15:00,Auditor
14,Validate,2023-01-02 11:45:00,Validator
14,Review,2023-01-02 12:00:00,Manager1
14,Approve,2023-01-02 12:30:00,Manager1
14,End,2023-01-02 12:45:00,System
15,Start,2023-01-02 11:00:00,System
15,Submit,2023-01-02 11:15:00,User2
15,Review,2023-01-02 11:45:00,Manager2
15,Reject,2023-01-02 12:15:00,Manager2
15,Rework,2023-01-02 12:30:00,User2
15,Submit,2023-01-02 13:00:00,User2
15,Review,2023-01-02 13:30:00,Manager2
15,Approve,2023-01-02 14:00:00,Manager2
15,Send,2023-01-02 14:15:00,System
15,End,2023-01-02 14:30:00,System
16,Start,2023-01-02 11:30:00,System
16,Submit,2023-01-02 11:45:00,User1
16,Review,2023-01-02 12:15:00,Manager1
16,Approve,2023-01-02 12:45:00,Manager1
16,End,2023-01-02 13:00:00,System
17,Start,2023-01-02 12:00:00,System
17,Submit,2023-01-02 12:15:00,User3
17,Validate,2023-01-02 12:45:00,Validator
17,Approve,2023-01-02 13:15:00,Manager2
17,End,2023-01-02 13:30:00,System
18,Start,2023-01-02 12:30:00,System
18,Submit,2023-01-02 12:45:00,User2
18,Review,2023-01-02 13:15:00,Manager1
18,Approve,2023-01-02 13:45:00,Manager1
18,Send,2023-01-02 14:00:00,System
18,End,2023-01-02 14:15:00,System
19,Start,2023-01-02 13:00:00,System
19,Submit,2023-01-02 13:15:00,User1
19,Check,2023-01-02 13:45:00,Auditor
19,Review,2023-01-02 14:00:00,Manager2
19,Reject,2023-01-02 14:30:00,Manager2
19,End,2023-01-02 14:45:00,System
20,Start,2023-01-02 13:30:00,System
20,Submit,2023-01-02 13:45:00,User3
20,Review,2023-01-02 14:15:00,Manager1
20,Approve,2023-01-02 14:45:00,Manager1
20,End,2023-01-02 15:00:00,System
