case:concept:name,concept:name,time:timestamp
synthetic_1,START,2024-01-01 00:00:00
synthetic_1,START,2024-01-01 01:00:00
synthetic_1,START,2024-01-01 02:00:00
synthetic_1,5,2024-01-01 03:00:00
synthetic_1,START,2024-01-01 04:00:00
synthetic_1,START,2024-01-01 05:00:00
synthetic_2,START,2024-01-01 00:00:00
synthetic_2,START,2024-01-01 01:00:00
synthetic_2,START,2024-01-01 02:00:00
synthetic_2,START,2024-01-01 03:00:00
synthetic_2,START,2024-01-01 04:00:00
synthetic_2,START,2024-01-01 05:00:00
synthetic_3,START,2024-01-01 00:00:00
synthetic_3,START,2024-01-01 01:00:00
synthetic_3,9,2024-01-01 02:00:00
synthetic_3,START,2024-01-01 03:00:00
synthetic_3,1,2024-01-01 04:00:00
synthetic_3,5,2024-01-01 05:00:00
synthetic_3,1,2024-01-01 06:00:00
synthetic_4,START,2024-01-01 00:00:00
synthetic_4,START,2024-01-01 01:00:00
synthetic_4,START,2024-01-01 02:00:00
synthetic_4,START,2024-01-01 03:00:00
synthetic_4,START,2024-01-01 04:00:00
synthetic_4,START,2024-01-01 05:00:00
synthetic_4,7,2024-01-01 06:00:00
synthetic_5,START,2024-01-01 00:00:00
synthetic_5,5,2024-01-01 01:00:00
synthetic_5,START,2024-01-01 02:00:00
synthetic_5,8,2024-01-01 03:00:00
synthetic_5,4,2024-01-01 04:00:00
synthetic_6,START,2024-01-01 00:00:00
synthetic_6,START,2024-01-01 01:00:00
synthetic_6,START,2024-01-01 02:00:00
synthetic_6,3,2024-01-01 03:00:00
synthetic_6,3,2024-01-01 04:00:00
synthetic_6,4,2024-01-01 05:00:00
synthetic_6,5,2024-01-01 06:00:00
synthetic_6,START,2024-01-01 07:00:00
synthetic_6,2,2024-01-01 08:00:00
synthetic_6,9,2024-01-01 09:00:00
synthetic_7,START,2024-01-01 00:00:00
synthetic_7,START,2024-01-01 01:00:00
synthetic_7,5,2024-01-01 02:00:00
synthetic_7,START,2024-01-01 03:00:00
synthetic_7,5,2024-01-01 04:00:00
synthetic_7,3,2024-01-01 05:00:00
synthetic_7,7,2024-01-01 06:00:00
synthetic_7,5,2024-01-01 07:00:00
synthetic_8,START,2024-01-01 00:00:00
synthetic_8,START,2024-01-01 01:00:00
synthetic_8,START,2024-01-01 02:00:00
synthetic_8,START,2024-01-01 03:00:00
synthetic_8,START,2024-01-01 04:00:00
synthetic_8,1,2024-01-01 05:00:00
synthetic_8,2,2024-01-01 06:00:00
synthetic_8,3,2024-01-01 07:00:00
synthetic_8,3,2024-01-01 08:00:00
synthetic_9,START,2024-01-01 00:00:00
synthetic_9,START,2024-01-01 01:00:00
synthetic_9,4,2024-01-01 02:00:00
synthetic_9,START,2024-01-01 03:00:00
synthetic_9,1,2024-01-01 04:00:00
synthetic_9,5,2024-01-01 05:00:00
synthetic_10,START,2024-01-01 00:00:00
synthetic_10,5,2024-01-01 01:00:00
synthetic_10,9,2024-01-01 02:00:00
synthetic_10,6,2024-01-01 03:00:00
synthetic_10,7,2024-01-01 04:00:00
synthetic_10,5,2024-01-01 05:00:00
synthetic_11,1,2024-01-01 00:00:00
synthetic_11,START,2024-01-01 01:00:00
synthetic_11,5,2024-01-01 02:00:00
synthetic_11,START,2024-01-01 03:00:00
synthetic_11,START,2024-01-01 04:00:00
synthetic_11,2,2024-01-01 05:00:00
synthetic_12,START,2024-01-01 00:00:00
synthetic_12,START,2024-01-01 01:00:00
synthetic_12,3,2024-01-01 02:00:00
synthetic_12,2,2024-01-01 03:00:00
synthetic_12,START,2024-01-01 04:00:00
synthetic_12,START,2024-01-01 05:00:00
synthetic_12,3,2024-01-01 06:00:00
synthetic_12,5,2024-01-01 07:00:00
synthetic_13,START,2024-01-01 00:00:00
synthetic_13,START,2024-01-01 01:00:00
synthetic_13,6,2024-01-01 02:00:00
synthetic_13,START,2024-01-01 03:00:00
synthetic_13,START,2024-01-01 04:00:00
synthetic_13,3,2024-01-01 05:00:00
synthetic_13,7,2024-01-01 06:00:00
synthetic_14,START,2024-01-01 00:00:00
synthetic_14,START,2024-01-01 01:00:00
synthetic_14,START,2024-01-01 02:00:00
synthetic_14,START,2024-01-01 03:00:00
synthetic_14,8,2024-01-01 04:00:00
synthetic_14,3,2024-01-01 05:00:00
synthetic_14,7,2024-01-01 06:00:00
synthetic_14,3,2024-01-01 07:00:00
synthetic_14,6,2024-01-01 08:00:00
synthetic_14,7,2024-01-01 09:00:00
